"municipio_id_sus","periodo_data","estabelecimento_nome","equipe_nome","cadastro_quantidade","cadastro_criterio_pontuacao"
"355030","01/2022",UBS GRAFICOS,EQUIPE III,3232,false
"355030","01/2022",UBS RECANTO DOS HUMILDES,RECANTO - EQ3,3407,false
"355030","01/2022",AMA UBS INTEGRADA JARDIM BRASIL,AZUL - SAO PAULO,3618,false
"355030","01/2022",AMA UBS INTEGRADA JD SAO FRANCISCO II,EQUIPE 6 - VERMELHA,3998,false
"355030","01/2022",UBS PREF CELSO AUGUSTO DANIEL,EQUIPE 1 / CELSO DANIEL,3412,false
"355030","01/2022",UBS J PARANAPANEMA,J PARANAPANEMA 3,3214,false
"355030","01/2022",UBS ZUMBI DOS PALMARES,ZUMBI DOS PALMARES 2,3963,false
"355030","01/2022",UBS ZUMBI DOS PALMARES,ZUMBI DOS PALMARES 1,3144,false
"355030","01/2022",UBS VARGINHA,VARGINHA 07,2648,false
"355030","01/2022",UBS VARGEM GRANDE,ORQUIDEA,3715,false
"355030","01/2022",UBS CANTINHO DO CEU,CANTINHO DO CEU III,2602,false
"355030","01/2022",UBS JD CARRAOZINHO,VERDE,4228,false
"355030","01/2022",UBS JD ROMANO VILA ITAIM,EQUIPE 2,3031,false
"355030","01/2022",UBS RIO CLARO,HARMONIA,4636,false
"355030","01/2022",UBS VARGEM GRANDE,ATHENA,2162,false
"355030","01/2022",UBS VILA RENATO MARIA DAS GRACAS DA SILVA,"4243 - EQUIPE 3 AZUL",3743,false
"355030","01/2022",AMA UBS VILA PREL ANTONIO BERNARDES DE OLIVEIRA,VILA PREL 04 - AMARELO,3372,false
"355030","01/2022",UBS VILA MAGGI,MAGGI - LILAS - 3126,2563,false
"355030","01/2022",UBS PARELHEIROS,PARELHEIROS II,1637,false
"355030","01/2022",UBS VILA IMPERIO DRA GILDA TERA TAHIRA,IMPERIO 2,940,false
"355030","01/2022",UBS CITY JARAGUA,CITY JARAGUA - LILAS - EQ 08,2945,false
"355030","01/2022",UBS J N SRA DO CARMO,EQUIPE 07,2295,false
"355030","01/2022",UBS J HELIAN,EQUIPE 03,2991,false
"355030","01/2022",UBS CIDADE IPAVA,IPAVA 6,4291,false
"355030","01/2022",UBS J MAIA,DOURADA,2703,false
"355030","01/2022",UBS JARDIM SAO CARLOS,EQUIPE 4,2782,false
"355030","01/2022",AMA UBS INTEGRADA JD SAO FRANCISCO II,EQUIPE 5 - PINK,4720,false
"355030","01/2022",UBS SEM TERRA,EQ.1 AMARELA,3454,false
"355030","01/2022",UBS VILA CANAA,EQUIPE AMARELA,3596,false
"355030","01/2022",UBS PARQUE REGINA PERINA ALVES TEIXEIRA,REGINA - AZUL,2936,false
"355030","01/2022",AMA UBS PQ NOVO STO AMARO,PQ NOVO SANTO AMARO 2,3542,false
"355030","01/2022",UBS PARQUE DO ENGENHO II,ENGENHO - AZUL,4534,false
"355030","01/2022",UBS PARQUE DO ENGENHO II,ENGENHO - LILAS,3561,false
"355030","01/2022",AMA UBS INTEGRADA PQ BRISTOL,"4392 - 02",5076,false
"355030","01/2022",UBS J NAKAMURA,J NAKAMURA 4,3507,false
"355030","01/2022",UBS JARDIM MITSUTANI,MITSUTANI - VERMELHO,3151,false
"355030","01/2022",UBS JARDIM LIDIA,LIDIA - VERDE,3700,false
"355030","01/2022",UBS JARDIM GUARANI,"234 - EQUIPE F",2498,false
"355030","01/2022",UBS JARDIM ELIANE,JD. ELIANE IX,2118,false
"355030","01/2022",UBS JARDIM ELIANE,BRANCA - JD. ELIANE II,3521,false
"355030","01/2022",UBS JARDIM COMERCIAL,COMERCIAL - VERDE,3487,false
